Gambar,Algoritma,Awal,Akhir,Persentase,Waktu_Kompresi,Waktu_Dekompresi,MSE,PSNR
img1.bmp,RLE,1228854,1423900,-15.872186606382858,163.42,104.34,0.0,inf
img1.bmp,LZW,1228854,717424,41.61845101208117,714.84,282.13,0.0,inf
img1.bmp,Huffman,1228854,924176,24.79366954902698,1129.86,464.93,0.0,inf
img10.bmp,RLE,2433654,1636368,32.760860829025,303.56,194.84,0.0,inf
img10.bmp,LZW,2433654,833260,65.76095040626153,1341.29,535.24,0.0,inf
img10.bmp,Huffman,2433654,1058361,56.51144328651485,2065.41,863.87,0.0,inf
img11.bmp,RLE,1273654,2354376,-84.85208698751781,158.28,108.83,0.0,inf
img11.bmp,LZW,1273654,1262854,0.8479539969253815,722.72,289.67,0.0,inf
img11.bmp,Huffman,1273654,993408,22.003307020588007,1127.43,461.94,0.0,inf
img12.bmp,RLE,217342,140034,35.56974721866919,38.99,25.09,0.0,inf
img12.bmp,LZW,217342,55488,74.46972973470383,169.05,62.63,0.0,inf
img12.bmp,Huffman,217342,100756,53.64172594344397,240.81,99.4,0.0,inf
img13.bmp,RLE,450238,233004,48.24870401876341,60.45,41.99,0.0,inf
img13.bmp,LZW,450238,91940,79.57968896450322,295.68,116.38,0.0,inf
img13.bmp,Huffman,450238,173784,61.40174752020042,446.28,182.11,0.0,inf
img14.bmp,RLE,864198,922830,-6.784556316955142,113.59,78.71,0.0,inf
img14.bmp,LZW,864198,340302,60.62221851936709,495.61,203.62,0.0,inf
img14.bmp,Huffman,864198,486893,43.65955487052736,779.03,341.88,0.0,inf
img15.bmp,RLE,456438,386792,15.25858933743466,64.51,46.23,0.0,inf
img15.bmp,LZW,456438,121202,73.44611973586774,295.19,128.99,0.0,inf
img15.bmp,Huffman,456438,230467,49.50749061208752,486.5,203.19,0.0,inf
img16.bmp,RLE,62826,58008,7.668799541591061,18.81,15.59,0.0,inf
img16.bmp,LZW,62826,26812,57.32340113965556,70.83,25.58,0.0,inf
img16.bmp,Huffman,62826,34316,45.37930156304715,106.36,83.35,0.0,inf
img17.bmp,RLE,540186,529044,2.062622874343282,70.29,50.36,0.0,inf
img17.bmp,LZW,540186,243650,54.89516573920835,347.7,130.6,0.0,inf
img17.bmp,Huffman,540186,311121,42.40483833346292,528.43,230.41,0.0,inf
img18.bmp,RLE,372966,358282,3.937088099183304,55.35,36.41,0.0,inf
img18.bmp,LZW,372966,153738,58.779620662473256,232.3,93.39,0.0,inf
img18.bmp,Huffman,372966,232336,37.70584986299019,381.26,173.59,0.0,inf
img19.bmp,RLE,372786,299938,19.541506387042432,49.77,38.52,0.0,inf
img19.bmp,LZW,372786,111448,70.10402751176278,230.38,94.25,0.0,inf
img19.bmp,Huffman,372786,168529,54.79202545159958,409.51,192.3,0.0,inf
img2.bmp,RLE,2433654,1553388,36.17054848388473,294.61,201.76,0.0,inf
img2.bmp,LZW,2433654,877068,63.96085885668218,1353.63,536.13,0.0,inf
img2.bmp,Huffman,2433654,1049042,56.8943654274601,2098.7,876.3,0.0,inf
img20.bmp,RLE,714978,346956,51.47319218213708,97.83,66.23,0.0,inf
img20.bmp,LZW,714978,104964,85.31926856490689,425.91,171.05,0.0,inf
img20.bmp,Huffman,714978,306326,57.15588451672639,686.94,269.52,0.0,inf
img21.bmp,RLE,73314,91550,-24.87383037346209,26.16,15.6,0.0,inf
img21.bmp,LZW,73314,42130,42.53485009684371,81.12,44.42,0.0,inf
img21.bmp,Huffman,73314,47090,35.76943012248684,134.88,76.87,0.0,inf
img22.bmp,RLE,872614,1214376,-39.16531249785128,121.9,76.61,0.0,inf
img22.bmp,LZW,872614,611064,29.973161099867752,501.19,220.04,0.0,inf
img22.bmp,Huffman,872614,649265,25.595394985640844,809.33,334.23,0.0,inf
img23.bmp,RLE,130526,88832,31.943061152567303,34.31,16.49,0.0,inf
img23.bmp,LZW,130526,54778,58.03288233761856,101.85,52.73,0.0,inf
img23.bmp,Huffman,130526,86246,33.924275623247475,196.74,108.77,0.0,inf
img24.bmp,RLE,25000054,23518396,5.926619198502531,2937.56,1964.5,0.0,inf
img24.bmp,LZW,25000054,12850902,48.59650303155345,13460.53,5383.98,0.0,inf
img24.bmp,Huffman,25000054,13053365,47.78665278082999,20839.15,8576.88,0.0,inf
img25.bmp,RLE,25000054,26411922,-5.6474598014868285,2945.97,1959.74,0.0,inf
img25.bmp,LZW,25000054,15228854,39.08471557701436,13482.93,5393.74,0.0,inf
img25.bmp,Huffman,25000054,13855807,44.576891713913895,20803.73,8585.14,0.0,inf
img26.bmp,RLE,132118,124510,5.758488623805992,20.51,20.02,0.0,inf
img26.bmp,LZW,132118,73154,44.62980063276768,128.73,60.57,0.0,inf
img26.bmp,Huffman,132118,106072,19.71419488638944,202.59,76.45,0.0,inf
img27.bmp,RLE,35994166,71872952,-99.67944805277612,4234.28,2817.27,0.0,inf
img27.bmp,LZW,35994166,8636270,76.0064728267353,19367.86,7752.29,0.0,inf
img27.bmp,Huffman,35994166,19201394,46.654149452997466,29947.48,12335.3,0.0,inf
img28.bmp,RLE,6251078,4556546,27.107836440370765,740.88,498.78,0.0,inf
img28.bmp,LZW,6251078,2854366,54.33801977834863,3387.53,1359.08,0.0,inf
img28.bmp,Huffman,6251078,3666291,41.349460045131416,5253.48,2198.68,0.0,inf
img29.bmp,RLE,16778294,12897708,23.128608903861146,1971.56,1322.08,0.0,inf
img29.bmp,LZW,16778294,11327896,32.48481639432472,9053.42,3624.68,0.0,inf
img29.bmp,Huffman,16778294,11081723,33.95202754225191,14018.32,5784.62,0.0,inf
img3.bmp,RLE,1125054,1105994,1.6941409034588562,145.89,92.05,0.0,inf
img3.bmp,LZW,1125054,503758,55.22366037541309,642.69,256.11,0.0,inf
img3.bmp,Huffman,1125054,641204,43.00682456130995,1022.7,433.6,0.0,inf
img30.bmp,RLE,6251078,3824488,38.81874454294124,749.73,495.93,0.0,inf
img30.bmp,LZW,6251078,3216154,48.55041002527884,3384.34,1358.72,0.0,inf
img30.bmp,Huffman,6251078,3904547,37.53802144206168,5288.43,2171.15,0.0,inf
img4.bmp,RLE,1228854,1384952,-12.702729534997648,150.02,105.71,0.0,inf
img4.bmp,LZW,1228854,717024,41.6510016649659,701.87,281.41,0.0,inf
img4.bmp,Huffman,1228854,911541,25.82186329702308,1065.32,470.68,0.0,inf
img5.bmp,RLE,2888118,2063932,28.53713040810659,349.25,234.32,0.0,inf
img5.bmp,LZW,2888118,1012704,64.93550471275759,1606.87,638.39,0.0,inf
img5.bmp,Huffman,2888118,1293502,55.2129795250748,2490.76,1017.47,0.0,inf
img6.bmp,RLE,894494,1191928,-33.25164841798827,114.84,78.5,0.0,inf
img6.bmp,LZW,894494,514798,42.448132687307016,530.83,220.66,0.0,inf
img6.bmp,Huffman,894494,635003,29.00980889754431,842.67,336.87,0.0,inf
img7.bmp,RLE,2433654,881354,63.78474507879921,299.02,195.24,0.0,inf
